mot francais;traduction kabyle;commentaires;exemple
huile;zzit (souvent huile d’olive);Rzu zzit ɣer t-tanwalt.;Apporte l’huile à la cuisine.
viande;aksum;Aksum d axxam-is.;La viande est chez lui.
poulet;djej (emprunt courant);Neččaɣ djej ass-a.;Je mange du poulet aujourd’hui.
bœuf;lḥem n teɣerɣart;Neččaɣ lḥem n teɣerɣart.;Je mange du bœuf.
poisson;leḥut;Aɣrum akked leḥut d iḥlan.;Pain et poisson, c’est bon.
œuf;tamellalt;Neččaɣ tamellalt di ṣ-ṣbaḥ.;Je mange un œuf le matin.
pomme;ttefaḥ;Ttefaḥ-a d tazalit.;Cette pomme est belle.
banane;tabanant;Tabanant-a d tazalit.;Cette banane est belle.
orange;ačini;Ačini-a d umellal d uḥlaw.;Cette orange est sucrée.
raisin;tiẓurin;Neččaɣ tiẓurin.;Je mange du raisin.
datte;azemz;Azemz d aḥlaw.;La datte est sucrée.
tomate;ṭmaṭem (var. ṭmaṭeš);Ḥder ṭmaṭem di t-tanwalt;Prépare la tomate à la cuisine.
oignon;aẓalim;Aẓalim yella di tanwalt.;L’oignon est dans la cuisine.
ail;tiskart;Tiskart tella ɣef ṭabla.;L’ail est sur la table.
pomme de terre;batata;Batata llan di tanwalt.;Les pommes de terre sont dans la cuisine.
carotte;jazar;Gzem jazar s w-mus.;Coupe la carotte avec le couteau.
riz;ṛṛuz;Neččaɣ ṛṛuz.;Je mange du riz.
couscous;seksu;Neččaɣ seksu ass-a.;Je mange du couscous aujourd’hui.
semoule;semid;Ssexdem semid i seksu.;Utilise de la semoule pour le couscous.
soupe;askaf;Neččaɣ askaf.;Je mange de la soupe.
thé;aṭay;Sew aṭay di t-tassa.;Bois le thé dans la tasse.
café;lqahwa;Sew lqahwa di ṣ-ṣbeḥ.;Bois du café le matin.
sucré;aḥlaw;Ačini d aḥlaw.;L’orange est sucrée.
salé;melḥi;Aksum melḥi aṭas.;La viande est très salée.
chaud;ḥṛan;Aṭay ḥṛan.;Le thé est chaud.
froid;bərd;Aman bərd.;L’eau est froide.
faim;lǧuɛ;Ɣur-i lǧuɛ.;J’ai faim.
soif;lɛṭaš;Ɣur-i lɛṭaš.;J’ai soif.
tête;ixef;D ixef.;C’est la tête.
cheveux;čaɛr (emprunt courant);D čaɛr.;Ce sont les cheveux.
œil;tiṭ;D tiṭ.;C’est l’œil.
nez;afunas;D afunas.;C’est le nez.
bouche;imi;D imi.;C’est la bouche.
oreille;ameẓẓuɣ;D ameẓẓuɣ.;C’est l’oreille.
main;afus;D afus.;C’est la main.
bras;afus;Yekker afus-is.;Il/Elle lève le bras.
jambe;aḍaṛ;D aḍaṛ.;C’est la jambe.
pied;aḍaṛ;D aḍaṛ.;C’est le pied.
dos;uɛrur;D uɛrur.;C’est le dos.
ventre;aɛebbuḍ;D aɛebbuḍ.;C’est le ventre.
cœur;ul;D ul.;C’est le cœur.
sang;idammen;D idammen.;C’est le sang.
os;aɣes;D aɣes.;C’est l’os.
peau;aɣlim;D aɣlim.;C’est la peau.
malade;yuḍen;Yuḍen.;Il est malade.
blessé;amejruḥ;Yella d amejruḥ.;Il est blessé.
douleur;iɣer;Ɣur-i iɣer.;J’ai une douleur.
fièvre;tawla;Ɣur-i tawla.;J’ai de la fièvre.
rhume;aḍu;Ɣur-is aḍu.;Il a un rhume.
docteur;amejjay;Amejjay yella dagi.;Le docteur est ici.
médicament;asafar;Su asafar.;Prends le médicament.
hôpital;sbiṭar;Iruḥ ɣer sbiṭar.;Il est allé à l’hôpital.
repos;talwit;Ad nesɛa talwit.;Nous avons besoin de repos.
mort;amutt (var. amuttu);Amutt yettwas.;La mort est arrivée. (forme à valider dialectalement)
chemise;chemisa (emprunt);Sserg-iyi chemisa.;Mets ma chemise.
pantalon;pantalun (emprunt);Sru pantalun-iw.;Enlève mon pantalon.
robe;taqendurt;Taqendurt-iw tella d tazlit.;Ma robe est belle.
jupe;jupe (emprunt);Timmura jupe-a.;Elle porte une jupe.
t-shirt;tishirt (emprunt);Tishirt-iw ḥelu.;Mon t-shirt est propre.
veste;vesta (emprunt : veste);Rzen ɣer vesta.;Mets la veste.
chaussures;tsawat / tifaxxit (var.);Ssu tsawat-inek.;Enlève tes chaussures.
chaussettes;tasqic (ou chaussette emprunt);Ssu tasqic-inek.;Retire tes chaussettes.
bonnet;amsari / bonnet (emprunt);Yettaf amsari-is.;Il porte son bonnet.
foulard;amendil / tafulart;Tamendil-a tella d ameggaz.;Le foulard est grand.
ceinture;abagus;Asab abagus-inek.;Attache ta ceinture.
noir;aβracan (var. abarkan);Ameqqran aβracan.;C’est très noir.
blanc;amellal;Tama amellal.;C’est blanc.
rouge;azeggag (var. azeqqaɣ);Tama azeggag.;C’est rouge.
bleu;aẓeṛqaq;Igenni d aẓeṛqaq.;Le ciel est bleu.
vert;azegzaw;Tameṭṭut tazegzaw.;La couleur verte est belle.
jaune;aweṛaɣ (var. aweṛag);Tama aweṛaɣ.;C’est jaune.
gris;arsassi;Tama arsassi.;C’est gris.
rose;axuxi;Tama axuxi.;C’est rose.
orange (couleur);ačini (fruit) / tazizt (couleur rare);Tama ačini.;C’est orange.
marron;amɣur (approx.);Tama amɣur.;C’est marron. (à valider)
violet;amur (approx.);Tama amur.;C’est violet. (à valider)
porter;ssur / lleɛ (porter vêtement);Yessur vesta.;Il porte la veste.
mettre;ssur / sefru;Ssur chemisa-iyi.;Mets ma chemise.
enlever;ssu / seqqeṛ;Ssu pantalun-inek.;Enlève ton pantalon.
laver;ifess / setta;Ifess tamendil-a.;Lave le foulard.
repasser;tiseggat / ifess amezruy;Tiseggat chemisa-a.;Repasse la chemise.
être;yerna / d (copule);Nekk d amdan.;Je suis une personne.
avoir;lli / yenna (avoir poss.);Yenna imi d yisem-iw.;J’ai ceci comme nom.
faire;aserg / ssur;Ad aserg aẓul.;Il va faire la cuisine.
aller;adḥa / ṛuḥ;Adḥaɣ ɣer tamdint.;Je vais à la ville.
venir;ddu / as;Ddu sɣur wen.;Il vient chez toi.
partir;ṛuḥ / ffeɣ;ṛuḥ-iyi ɣer lma.;Je pars à la mer.
manger;ecc / ečč;Neččaɣ ecc.;Je mange.
boire;sew / su;Nekk tessew ayefki.;Je bois du lait.
dormir;ṭṭes;Yettṭes azwaw.;Le bébé dort.
se lever;yekker;S yiɣil i d-yekker.;Elle a eu du mal à se lever.
s’asseoir;gawr / ggiwer / qejdem;Gawr ɣef akkersi.;Assieds-toi sur la chaise.
marcher;ddu / lḥu;Nruḥ ad neddu.;Nous allons marcher.
courir;azzel;Azzel iɣer tugna.;Il court vers la place.
sauter;yengez;Yengez d adrar.;Il saute par‑dessus la pierre.
tomber;ɣli;Yettɣli s tezwart.;Il est tombé de l’arbre.
porter;asiy / ssur;Yasiy tabrat-inek.;Il porte ton sac.
parler;neḥder / ahdar;Neḥder ɣer umḍan.;Je parle à l’homme.
écouter;ssef / ssefled;Assef ad t-yessefd.;Écoute ce qu’il dit.
voir;wali;Wali-iyi tamdint.;Je vois la ville.
regarder;wali / erçi;Erçi ɣer igenni.;Regarde le ciel.
entendre;sel;Ħeǧ-iyi sel-agi?;As‑tu entendu cela ?
aimer;eɣs / ri;Eɣs-iyi tameṭṭut.;J’aime ma femme.
vouloir;bɣiɣ / jivra (var.);Bɣiɣ ad nnexxi.;Je veux partir.
pouvoir;zmer;Zmer-iyi ad nesraḥ.;Je peux parler.
savoir;issin / fhem (pour comprendre);Issin‑iyi taslit ?;Sais‑tu la vérité ?
devoir;tadelsant / yella ad + verbe (périphrase);Yella ad nerga tadelsant‑i.;Je dois faire mon devoir.
bonjour;azul;Azul, mačči k‑w?;Bonjour, comment vas‑tu ?
salut;azul / asleɣ;Azul!;Salut !
au revoir;ad ɣer ara / ad d‑yemɣa;Ad d‑yemɣa, s slamt.;Au revoir, sois en paix.
merci;tanemmirt;Tanemmirt ɣef tallalt‑ik.;Merci pour ton aide.
pardon;smah / s-suref-iyi;Sameh‑iyi, ur ḥeqq‑ɣ ara.;Pardonne‑moi, je n’ai pas fait exprès.
s’il te plaît;afak;Afak, ɛaṭini aman.;S'il te plaît, donne‑moi de l'eau.
oui;iyi / ih / ayi;Iyi, ad d‑nruḥ.;Oui, nous partirons.
non;ulac (existentiel) — réponse courte: ayi / ih;Ulac, ur ḍirdɣ ara.;Il n'y en a pas / Non (usage existentiel).
peut-être;yerna;Yerna ad nesraḥ?;Peut‑être que je parlerai ?
d’accord;zwaɣ;Zwaɣ, ad nerɛu.;D'accord, je le ferai.
pas du tout;ur illa ara;Ur illa ara, ur d‑nniɣ.;Pas du tout, je ne suis pas d'accord.
comment ça va;mata d‑ammek?;Mata d‑ammek?;Comment ça va ?
ça va bien;labas;Labas, tanemmirt.;Ça va bien, merci.
et toi;kek‑k / kečč‑k;Kek‑k, mata d‑ammek?;Et toi, comment vas‑tu ?
je ne sais pas;ur ɣurɣ ara;Ur ɣurɣ ara, s s‑tma.;Je ne sais pas, attends un peu.
pourquoi;acuy;Acuy i d‑ttwaḥ?;Pourquoi est‑ce arrivé ?
parce que;mi / miṭṭan;Mi, ur t‑ḥeqq ara.;Parce que cela n'était pas possible.
quand;miṭel?;Miṭel ad nḥer?;Quand partirons‑nous ?
où;taynna / aynna;Taynna ad d‑ruḥ?;Où allons‑nous ?
comment;ama;Ama ad t‑imfel?;Comment vas‑tu faire ça ?
quoi;anka;Anka ara t‑ssawal?;Qu'est‑ce que tu demandes ?
beaucoup;aṭas (var. attas);Aṭas n waman.;Beaucoup d'eau.
un peu;ciṭuḥ (ou kra en tournure partitive);Sber ciṭuḥ.;Attends un peu.
jamais;ulac‑ara / tournure négative ur ... ara;Ulac‑ara ad d‑ukk.;Je ne le ferai jamais.
toujours;ɣef‑us;Yella ɣef‑us.;Il est toujours là.
parfois;ad‑yella;Ad‑yella s‑waḍ.;Parfois il revient.
voiture;tomobil / tamobil (recommandé) — var. takeṛṛust;Tomobil‑iɣ yella sin.;Ma voiture a deux portes.
bus;abus;Nruḥ s abus.;Nous prenons le bus.
train;tiren;Nruḥ s tiren.;Nous allons en train.
avion;timesrifegt;Nruḥ s timesrifegt.;Nous prendrons l'avion.
vélo;tasnasɣalt;Tasnasɣalt‑iɣ deg garaj.;Mon vélo est dans le garage.
moto;moto (emprunt courant);Isɛa moto.;Il a une moto.
route;abrid;Abrid tella ɣezzif.;La route est longue.
rue;tala;Tala n taẓallit.;La rue principale.
chemin;asenfa;Asenfa ad yettu.;Le chemin monte.
trottoir;taɣrest;Taɣrest tella s‑tafukt.;Le trottoir est éclairé.
marcher;lḥu;Nruḥ ad neddu.;Nous allons marcher.
courir;azzel;Azzel iɣer tugna.;Il court vers la place.
conduire;yessfer (ou yefk tomobil);Yessfer tomobil-iw.;Il conduit ma voiture.
voyager;yessafar / yessfer (emprunt);Yessafar ad nerga.;Il va voyager.
arriver;ddu;Ddu sɣur wen.;Il arrive chez toi.
partir;ṛuḥ / ffeɣ;ṛuḥ-iyi ɣer lma.;Je pars à la mer.
station;tiggant / lagar;Tiggant-a tella amdyaz.;La station est pleine.
arrêt;axsal / asebdded (arrêt de bus);Axsal n ubus tella.;Il y a un arrêt de bus.
ticket;tikit / tawriqt;Ssefru tikit-agi.;Prends ce ticket.
carte;takarḍa / ani / acku;Takarḍa-iyi d imenza.;Ma carte est valide.
bagage;tadggart ittyamaẓn / tabalizt / tibalizin;Yessu tibalizin.;Les bagages sont arrivés.
école;tamassant / aɣerbaz;Tamassant-iw tella ɣer tamdint.;Mon école est en ville.
université;aɣzuran / tasdawit;Nruḥ ɣer tasdawit.;Nous allons à l’université.
cahier;azmam / assnnaṭ;Arwi azmam-agi.;Écris dans ce cahier.
livre;adlis;Iɣeṛ adlis.;Il/elle lit un livre.
stylo;agali / imru / leqlam;Asru agali-iyi.;Donne‑moi mon stylo.
crayon;tiggnt / akeryun / ṭṭikuk;Sserg tiggnt-agi.;Prends le crayon.
lire;ɣeṛ;Nekk ad ɣeṛ adlis.;Je vais lire un livre.
écrire;aruɣ / aru;Aruɣ tazwara.;Écris l’heure.
apprendre;ssefru / lmed;Yessefru ad awal.;Il apprend un mot.
comprendre;ifhem / fhem;Ur fhemɣ ara.;Je ne comprends pas.
enseigner;seddaw / sselmed;Aseddaw amlal.;Il enseigne la langue.
professeur;amḍif / amaslu / aselmad;Amḍif-agi yella dagi.;Le professeur est ici.
élève;tallalt (à valider selon dialecte);Tallalt-a yella di tamassant.;L’élève est à l’école.
étudiant;amaɣzay / amezruy (var.);Amaɣzay-agi yessufar.;L’étudiant voyage.
classe;taqsiṭ / taqsiṭ n tamassant;Taqsiṭ-agi tella d timlilit.;La classe est pleine.
note;tafsit / asnawen (selon contexte);Ad ḥudra tafsit.;Prends une note.
travail;axeddim;Yesseɣ axeddim.;Il fait le travail.
métier;amuggaru / asbadu (var.);Amuggaru-iyi d tabbay.;Mon métier est la menuiserie.
bureau;iburo / taburo (emprunt);Iburo-agi yezmer.;Le bureau est fermé.
ordinateur;amsusl / ordinateur (emprunt);Yessker amsusl.;Il allume l’ordinateur.
patron;ameṛṛu / amras (var.);Ameṛṛu-agi yella di l‑khedma.;Le patron est au travail.
collègue;ameddakel / aḍbib;Ameddakel-iw yessufar.;Mon collègue est parti.
chercher;nadi;Nadiɣ agali-iyi.;Je cherche mon stylo.
trouver;yefka;Yefka-t tasla.;Il/elle a trouvé la clé.
gagner;rbeḥ;Rbeḥ-it di asirem.;Il a gagné le match.
perdre;xseṛ;Xseṛ-it asirem.;Il a perdu le match.
rendez-vous;taktut;Taktut-agi yella ɣer taddart.;Il a un rendez‑vous au village.
maison;axxam;Nekk di axxam.;Je suis à la maison.
école;tamassant;Tamassant-iw tella ɣer tamdint.;Mon école est en ville.
marché;amglal / aswaq (emprunt);Nruḥ ad nesraḥ ɣer amglal.;Nous allons au marché.
mosquée;tamesgida;Nruḥ ɣer tamesgida.;Nous allons à la mosquée.
église;tamẓẓalt / tamẓẓalut;Tamẓẓalt-a tella ɣer taddart.;Il y a une église au village.
hôpital;sbiṭar;Nruḥ s sbiṭar.;Nous allons à l'hôpital.
pharmacie;tamdunt n tṭṭawin / pharmacie (emprunt);Ad nwali ɣer tamdunt.;Je vais à la pharmacie.
magasin;taḥanutt / magazin (emprunt);Taḥanutt-a yezmer.;Le magasin est fermé.
banque;lbanka / banka;Nruḥ ɣer lbanka.;Je vais à la banque.
poste;tamtint n lbarid;Nruḥ ɣer tamtint n lbarid.;Je vais à la poste.
parc;parc / tamdawt (emprunt/var.);Ad neddu ɣer parc.;Nous allons nous promener au parc.
rue;tala;Tala-agi tella ɣer tamdint.;Cette rue est en ville.
place;amkuẓ;Amkuẓ tella ḥemml.;La place est pleine.
village;taddart;Taddart-iw tella ɣer iferḥan.;Mon village est joli.
ville;tamdint;Tamdint-a tella ɣer asqif.;La ville est animée.
pays;tamurt;Tamurt-iw d Dzayer.;Mon pays est l'Algérie.
fête;tameɣra / asirem (var.);Tameɣra tteddu ɣef ussan.;La fête a commencé aujourd'hui.
mariage;zzawj / jjwaɣ (var.);Ttettzawajt di tammurt.;Il/elle s'est marié(e) dans le pays.
anniversaire;amulli / anniversaire (emprunt);Amulli ameggaz a-wennes!;Joyeux anniversaire à toi !
visite;tazrawt / zen (verbe);Nruḥ ad neẓẓar.;Nous allons faire une visite / visiter.
invité;amezwaru / amedu (var.);Amezwaru-yenna d ifassen.;L'invité est arrivé.
cadeau;tarzeft / tirzaf;Tarzeft-agi yettneḍfaɣ.;Ce cadeau est beau.
chose;ayen;Ayen-agi ur yesɛi.;Cette chose n'est pas utile.
objet;amekkan;Ameḳkan-agi d asirem.;Cet objet est un outil.
truc;afellay / ayen (familier);Afellay-agi ur yella kra.;Ce truc ne sert à rien.
