Français;Kabyle;Fréquence_Pourcentage
basket-ball;tacamma n tsknit / tawjja n tsknit;0.001
baskets, espadrille;iburksn n tunnunt;0.001
basse plateau;taẓuḍa tamazdart;0.001
basses montagnes;idurar imazdarn;0.001
bassins d’audience;imdwan n ussfld;0.001
battement du cœur;;0.001
bave;aldda / amrmur / irɣzazn / tifulaẓ / tiluffaẓ;0.001
beau;abajju / afalkay / aɛḍṛawi / amusɣ / amɣuda / aṣbḥan / imiẓil / uṣbiḥ / sskn / cwu;0.001
bec;aqaddus / aqnqab / aqnqub / aɣnbuz;0.001
biceps;igigil / tabuɛjijt / tabuɛjijt n ufus / tabujjut / tigigilt n ufus / tigltmt;0.001
bien profiter;ut afus;0.001
biens communaux;agla amgru;0.001
biens confisqués;ayda ittyamaẓn;0.001
bilan d'étape;;0.001
bile;taruɣi / tawrɣi;0.001
bise;amḥḥac;0.001
bière;aman n tmẓin;0.001
blet;ruba;0.001
bleu;anili / acḥmi / azgza / inil / ukẓi;0.001
bloc opératoire;tadala n uflay;0.001
blé;irdn;0.001
bon;aɛḍṛawi / aqaddad / amaluɣ / aṣbḥan / imiḍfit / imiẓil / imṛwi / uṣbiḥ / ɣudu;0.001
bond;tabaṭct / taduyt / tiddzt;0.001
bord;agddim / amriru  / ibnk / idis / ir / tama / tasga;0.001
bouc;abukir / abṛṛiḍ / aɛrban / aqtrib  / amyan / ankkur / anugu / ikṛṛbḍ / iqbi;0.001
boue;abaḍxax / abiṭuṣ / abllaɛ / abluẓ / ablyuḍ / abrxix / allaɣ / aluḍ / amilus / aṛẓiẓ / llatux;0.001
bout;ixf / ttmi;0.001
boîte crânienne;taɣcact n yixf;0.001
boîte de peinture;tankult n iɣman;0.001
brin;tirzit;0.001
bru;taslit / tislit;0.001
brun;abaraɣ / admman / adndani / urɣis;0.001
brut;amsari;0.001
bus;ansmaddu;0.001
but;awttas;0.001
bât;aḥlas / tabarda;0.001
bâtonnier;amzwar n imstann / amɣar n imstann;0.001
bénéfice du doute;arraz n usurdu;0.001
bénéficiaire d'une aide collective;;0.001
béton armé;abɣli idusn;0.001
c'est lui qui est parti et non son frère;;0.001
c'est qu'il veut partir;;0.001
cabinet dentaire;tazzrayt taɣmsant;0.001
cadastre;asɣal afrkan;0.001
cadre légal;asati ulgin;0.001
cage;aqqfiz / iskni;0.001
cage thoracique;iskni n idmarn;0.001
cahier des charges;alug n waggʷatn;0.001
caisse de compensation;tafniqt n warraz;0.001
calcul biliaire;aẓṛu n yiẓi;0.001
calcul cystique;aẓṛu n tnbult;0.001
cale;abṛa / allal / asnks / tallzazt;0.001
camp;azazzr / tamrsiwt;0.001
campagne de presse;amzizzl anɣmas;0.001
campagne de publicité;amzizzl n usussn;0.001
campagne électorale;amzizzl amstay;0.001
caméraman;bu lkamiṛa;0.001
canal biliaire;asaru n yiẓi;0.001
cancer du poumon;;0.001
cancer du sein;akanṣiṛ n yiff;0.001
cancéreux;n ukanṣiṛ;0.001
cap;iɣir n yill;0.001
capacité d'intensification;;0.001
capillaires artériels;tazbalin n idammn / tinẓaḍin n idammn;0.001
capsule articulaire;taytrt n twrmt;0.001
car;ani  / acku / minzi;0.001
caractère gras;askkil azurar;0.001
caractère officiel;adriz amaddud;0.001
cardia;imi n uxdil;0.001
cardiologie;tasnijjit n wul;0.001
cardiologue;aḍbib n wul;0.001
carnet de santé;alug n tdusi;0.001
carrière (parcours professionnel);tudrt tazzulant;0.001
carte audio;takaṛḍa n imsli;0.001
carte climatique;takaṛḍa n ungigt;0.001
carte d'identité;;0.001
carte de séjour;takaṛḍa n uzdduɣ;0.001
carte de travail;takaṛḍa n twuri;0.001
carte grise;turagt n thirit;0.001
carte topographique;takaṛḍa taṭubugraft;0.001
cas;amdya / awanyan;0.001
cas primaire;;0.001
case;taxḍṛt / tuzunt;0.001
ce;a(d) / ddɣ;0.001
ce garçon (en question);arba lli;0.001
ce jour-là;ass ann;0.001
ceci;aya / ayddx / ddɣ;0.001
ceinture de sécurité;abkkas n tnfrut;0.001
cela;aya;0.001
cellule musculaire;taɣrast tanksumt;0.001
cent;timiḍi;0.001
cerf;azɣar;0.001
certificat d'enseignement primaire;;0.001
certificat du cycle collégial;aslkin n imir asmattag;0.001
certificat médical;aslkin amsnijji;0.001
ces;a(d) / ddɣ;0.001
cession de dette;amutti n umrwas;0.001
cet;a(d) / ddɣ;0.001
chef;amqran / amɣar / anssixf / aslway / ṛṛays;0.001
chez;dar / ɣr;0.001
choc;anakab;0.001
chou;abrzmmu;0.001
cil;abl / acbab / aẓalu;0.001
cime;aẓaylal / takyuḍt / taqiccit;0.001
cinq;smmus;0.001
cire;adqqis / adus / tikira;0.001
clan;afus;0.001
clou;amṣmaṛ / inflz;0.001
club;asgraw;0.001
clé;tasarut;0.001
code;aslgn / inigl;0.001
coin;;0.001
col;agṛḍ / tamggṛḍt / tizi;0.001
coma;tuktrt;0.001
coq;afullus / amujjuḍ / ayaẓiḍ;0.001
coup;tayti / tikti / tiyti;0.001
cour;amsiddar / aṛḥbi / asarag  / asays / tasnbḍayt;0.001
cri;aḍṛṛɛ / aḍṛwi / aɣuyyu / aɣwat / azzbrz / taɣuyyit;0.001
croc;aqrruc / tigiwlt;0.001
crue;angay / takaḍt / tawayt;0.001
cuve;abuqal;0.001
câble de répartition;izilm n taṭṭut;0.001
cérémonie donnée la veille de la nuit de noces;amkli n tmɣra;0.001
chambre;aḥanu / axxam;0.001
dalle;ablaḍ / islli / tablaḍt / tifirt;0.001
dame;lalla;0.001
dans;g / dg / jaj;0.001
dans deux ans;naf imal;0.001
dans une huitaine;imal ɣass;0.001
danse;adraz / aṛkaḍ / asyys;0.001
dard;tasuqqst / tasɣast / taẓnḍiḍt / tikft / tiqqst;0.001
date;asakud;0.001
dater;ssakud;0.001
de;n;0.001
de la tribu d'Ayt Warayn;;0.001
degré d'inclinaison;;0.001
degré d'inclinaison;;0.001
degré de température;tafsna n tmssi / tafsna n trɣi;0.001
delta;asawi / dilta;0.001
deltoïde;taksumt tadiltat;0.001
demande d’autorisation, demande de licence;tutra n turagt;0.001
demandeur d'asile;;0.001
deniers publics;tafniqt tagdudant;0.001
densité de l'air;;0.001
densité de l'air;;0.001
dent de sagesse;amɛqql / igyiw / tiɣmst n lɛql;0.001
dentine (ivoire);uẓṛ n tɣmst;0.001
dermatologie;tasnijjit n yilm;0.001
dermatologue;aḍbib n yilm;0.001
dermatose;tamaḍunt n yilm;0.001
dette;amrwas / tanmmirust;0.001
deux;sin;0.001
devin;agzzan / akhhan;0.001
digue;asggaru / uggug;0.001
dires;timnna;0.001
djinn;azɣuɣ;0.001
don;tikki;0.001
donc;ilmma;0.001
dons;timuca;0.001
doré;awrɣi;0.001
dose;tujawt;0.001
dot;abṛnuṣ / amrwas / taggalt;0.001
doute;amija / anzzul / asurdu / ackki / tazakkt / turda;0.001
doux;amlwaɣ / anslulf  / imiḍfit / umzi;0.001
drap;amiẓaṛ / liẓaṛ;0.001
droit;afasi / afusi / akil / amaɣud / azrf / izrf / nuya;0.001
dune;afund / aẓalul / tigidit;0.001
duper;qddc / ɣcm / ssknd;0.001
dur;mray / ṭnṭn;0.001
durer;ɣlla / sul / zga;0.001
décharge;asrus n tmstggart / ugu;0.001
déchaussement de la gencive;uzuf n uxsan / uzuf n tɣmas;0.001
déchéance de la nationalité;ukus n tɣlant;0.001
décision du conseil;taɣtast n usqqim;0.001
déclaration de presse;tasguri tanɣmast;0.001
déconnexion;ubuy n uzday;0.001
découpage administratif;agzam amssugur;0.001
découpage analytique;agzam asfsay;0.001
découpage technique;agzam atiqni;0.001
découpage électoral;agzam amstay;0.001
défense nationale;amzaɣ anamur;0.001
déferlement d'informations;;0.001
défi;amɛali / tanẓṛt;0.001
défunt;amttin / igllin n (-ism n umttin);0.001
dégrever;ssifsus argay;0.001
dégrèvement d'impôt;;0.001
délégation journalistique;akabaṛ n inɣmasn;0.001
délégation provinciale;tamurayt tasgawant / tasmirit tasgawant;0.001
délégation régionale;tamurayt tanmnaḍt / tasmirit tanmnaḍt;0.001
démission;ufuɣ zi twuri / tittiyt;0.001
déni de justice;tagʷit n tzrft;0.001
dépistage;alday n iɣnca / alday n tmaḍunt;0.001
déplacement de la mâchoire;tikni n wagja;0.001
dépression aérienne;uguz n waḍu;0.001
dépôt légal;asrus ulgin;0.001
dérivé (être -);ffɣ zg;0.001
dîme;azni;0.001
dôme;lqubbt;0.001
eau de fleur d'oranger;;0.001
eau de pluie;;0.001
eau de rose;aman n tzwiwɣt;0.001
effet;tusurt;0.001
effet rétroactif;tusurt timdwlt;0.001
effets secondaires;tusurin tisinanin;0.001
elle;nttat;0.001
elle est enceinte;tlla s udis;0.001
elles;nitnti;0.001
emblème;tamatart n uburz;0.001
emblème du royaume;tamatart n uburz n tgldit;0.001
empan;tardast;0.001
en cachette;s turksa;0.001
en ce temps-là, alors, à ce moment-là;akud ann;0.001
en cours d'acquisition;;0.001
en différé;war asrad;0.001
en vigueur;g uzzgir;0.001
enceinte (être-);tla aḥlig;0.001
encore;daɣ / dix / dix altu / ɛad / sul;0.001
endocrinologie;tasnijjit n twlsas;0.001
endocrinologue;aḍbib n twlsas;0.001
endomètre;idis  n usirw / idis n urɣn;0.001
enfant légitime;arba uzrif;0.001
enfer;jahnnama;0.001
enjeu;amsaras / amsḥṛam;0.001
ennui;aɣuruf / tazrrawt;0.001
enregistreur de CD;amsusr n tqaṛiḍin tuddizin;0.001
enseignement traditionnel;aslmd aqbur;0.001
ensuite;aha / daɣ / fad ilmma / ilmma / imil / iwa;0.001
entité juridique;ili ulgin;0.001
entre;gr / ingr / ngr;0.001
entérobactérie;tabaktirit n wadan;0.001
entête;ixf n tsna / aqmcac / amɣnan;0.001
entêtement;aknas / amɛali / amɣanan / aɣnan / iɣnan / taɣart n yixf / taɣnnant;0.001
envie;imzri;0.001
envoi;askki / asqadi / asifḍ / azan;0.001
envol;afay / taylalt;0.001
ergot;ajkjḍ / tacrmuft;0.001
errer;ḍiw / jlu / lglg / lli / llillḥ / nuda / ɣaɣa / sgzdf / ttlli;0.001
essai;irim / tarmit;0.001
esse;asagl;0.001
est;lqblt;0.001
et;d;0.001
etc.);amitr / asmuḍ / ffurs / ffrsl;0.001
eux;nitni;0.001
exigu;qmr / sḥnnq;0.001
exil;aḍlib / asiggʷj / azwag / icki;0.001
face;aẓi / udm / taẓamumt;0.001
facteur d'érosion;;0.001
facteur externe;amskar n bṛṛa;0.001
facteur interne;amskar  agʷnsan;0.001
fade;abasal / amqqnzez / amssas / ulmis / ssmsus;0.001
faim;buhyyuf / laẓ;0.001
faire attention;awi bɛit / kamd / ḥkkr / rar taɣḍft / rar taynit;0.001
faire attention, prendre soin de, ménager;ḥawl xf;0.001
faire des efforts;g nn tuggas / kuyey;0.001
fait;imggi / imjṛi;0.001
fait d'ouvrir extrêmement les yeux;;0.001
fait divers;imjṛi awassan;0.001
falaise fracturée;agnza iṛẓan;0.001
faon;uhim / uzim;0.001
fatigue musculaire;awḥal anksum;0.001
faux;armidi;0.001
fax;afakṣ;0.001
femme d'affaires;;0.001
fer;uzzal;0.001
fer);tazrgt;0.001
fermeture de frontière;argal n igmirn;0.001
fesse;aḍnfif / amsl / tazukt;0.001
feu;afa / aẓiẓn / lɛafit / takat / timssi;0.001
feu);nṭmṣ;0.001
feux de signalisation;asidd n usikl;0.001
fibre nerveuse;talzazt tanzlumt;0.001
figue sèche;tazart yuzɣn;0.001
fil;afilu / afulu / aɛccib / ifilu;0.001
fil horizontal (trame);afilu n usra;0.001
file;absrur / adras / asrrabu;0.001
filière des études;asaka n tɣuri;0.001
fille d'Ali;;0.001
film;lfilm;0.001
film d'archives;;0.001
film de divertissement;lfilm amsurar;0.001
film documentaire;lfilm untim;0.001
film expérimental;lfilm anaram;0.001
film muet;lfilm ifstn;0.001
film éducatif;lfilm asgman;0.001
fils;memmi;0.001
fils de Brahim;u bṛahim;0.001
fin;amnɣud / aslkakaḍ / asmur / azbabay / isdid / izbub / tasbddt / tigira;0.001
fin de détachement;asmur n unufsl;0.001
finalement, il n’a pas acheté la maison;ur sul isɣi tigmmi;0.001
fini;kmml;0.001
fixation du regard;anḍaṛ n tiṭṭawin;0.001
fixer;sikl / snal / sunnḍ / ssṛṣu / sttɣi / zzgu;0.001
fixer un rendez-vous;wwt taktut;0.001
fièvre de fatigue;tawla n uwḥal / tawla n ṛṛmuyt;0.001
fièvre rhumatismale;tawla n urumatizm / timssi n urumatizm;0.001
fièvre tertiaire;tawla tamkṛaḍt / timssi tamkṛaḍt;0.001
fleuve glaciaire;asif ugris;0.001
fleuve large;amɣar n isaffn / aɣzr abaraw;0.001
fleuve tournant;asif iṛẓan;0.001
flore endémique;imɣayn imsdɣarn;0.001
flou;amaggu;0.001
foi;taflst;0.001
fois;mullu / tikklt;0.001
folivore;;0.001
fonction opérationnelle;tasɣnt tumhilt;0.001
fonction pédagogique;tasɣnt tabidagujit;0.001
force;aggaḍ / afud / amnna / immir / taggalt / tadusi / tiɣṛaḍ;0.001
fort;amaka / amḍẓun / anddabu;0.001
forum;asgraw;0.001
fou;abuhali / aḥibur / aḥyuḍ / amxlaw / aminun / amṣuḍ / amtabri / anafal / ḥḥuyḍ / ḥuyḍ;0.001
four;afarnu / afṛṛan;0.001
foyer;axam / almssi / isfrg / tafqqunt / takat / tiɣrɣrt;0.001
froid;akram / aqraf / aṣmmiḍ / aẓṛṭiṭ / uqrif / taṣmḍi / taṣmuḍi;0.001
fuir;rwl;0.001
fémur;aɛjjammu / iɣss n taɣma;0.001
fête du trône;tamɣra n udabu;0.001
fête inaugurale du mariage;uffuy n tmɣra;0.001
gage;tadggart ittyamaẓn;0.001
gai;anfṛaṛaḥ;0.001
gain;abɣur;0.001
gale;ajjiḍ / ajjiḍ amkṛuḍ / ajṭṭiḍ / aldjiḍ;0.001
galet;aggun / akẓaẓ / awwun / urf / tidit / tiflt;0.001
galop;tarula;0.001
gant;almfus;0.001
gant de toilette;almfus n tarda;0.001
garde;aḍaf / aḥṭṭu / amagaẓ / anmutr / tiḥḍi;0.001
garde à vue;;0.001
gare (train);asrs n ulaway;0.001
garou;alẓẓaẓ;0.001
gaule;anzl / aṣllab;0.001
gaz;agaz;0.001
gaz carbonique;agaz akaṛbun;0.001
gaz d'ozone;;0.001
gaz naturel;agaz agaman;0.001
gaz toxique;agaz iẓini;0.001
gazométrie;tamsɣalt n ugaz;0.001
gecko;tiqlit;0.001
gel;agris;0.001
geler;gussm / grs / rsl;0.001
gencive;aksum n tɣmas / tamra / taniwt / tifiyi n uxsan;0.001
genre;anaw / asrtu / tasrtut / tawsit;0.001
gens;iwdan / middn;0.001
gerbe;acmin / acttug / idɣ / tadla / tadɣa / taflluyt / taqttunt / taɣwwint / tackkʷit  / tirrit / tirrct;0.001
gestion des déchets;aswuddu n warras;0.001
gifle;abariq / abqqil / abrqiɛ / aḍmmil / aḍmmiṣ / amddil / amxriq / amrriq / asqqil / aṣffiḥ / aṣlbiḍ / urdiḥ / tasggirt;0.001
gigot;aḍaṛ / tilizza;0.001
gilet;tabdɛit / tabzizt / tasdirt / taccayt;0.001
gingivite;abzag n tfiyi n uxsan / abzag n tmra / admj / tufft n uksum n tɣmas;0.001
giron;agiwal / agusi / aḍṛan / aḥsi / aḥciwc / arbi / acyun / ikcci / isi;0.001
glande endoctrine;tawlsist ifstn;0.001
glande exocrine;tawlsist tamsufɣt;0.001
glande lymphatique;tawlsist talmfat;0.001
glande thyroïdienne;tawlsist tafṛṭeṭṭut;0.001
glissement de terrain;aḥluttf n wakal;0.001
globe solaire;tiṭṭ n tafukt;0.001
globule blanc (leucocytes);taknunnayt tumlilt;0.001
globule rouge;taknunnayt tazggʷaɣt;0.001
glossite;abzag n yils / tufft n yils;0.001
glue;aslɣaɣ;0.001
golf;aslallu / aẓla;0.001
gomme;taɣnɣant / tasffaḍt / mḥu;0.001
gond;awrz;0.001
gorge;abuḥcic / agṛḍ / aḥrsi / aqrjuḍ / iri / taqqayt / tamijja / taɣya;0.001
gourmand;amacciw / bu tmimin;0.001
gousse d'ail;;0.001
goutte de pluie;timqqit n unẓaṛ;0.001
gradient thermique;amskʷfl n trɣi;0.001
grain;akka / aḥbbi / aḥbub / aqqa / iḥbbi / taɛqqayt / taqqayt;0.001
grand;akswat / axatar / aqrdal / amqran / aɣzzaf;0.001
grand angle, grand coin;tiɣmrt tamqrant;0.001
grand cordon;allam amqran;0.001
granivore;mcc mndi;0.001
gras;aḍbbuẓ / amdlallag / amnssl / imqwi;0.001
graveur de CD;amgzay n tqaṛiḍin tuddizin;0.001
greenwich;azrig n grinitc;0.001
gril;asknf / tuknift;0.001
grippe aviaire;adxcam n waylaln;0.001
