Français,Kabyle,Catégorie,Prononciation,Audio URL (optionnel),Catégorie Fréquence
aubergine,bitenjal,,,,Peu courant
calculer,ḥseb,,,,Peu courant
les talons,igurza,,,,Peu courant
nuque,takrumt,,,,Peu courant
"- izedayen""","""ildayen",,,,Peu courant
galanterie,asenber,,,,Peu courant
les nuques,tikurmatin,,,,Peu courant
obéissance,asegd,,,,Peu courant
les viandes tendres,tikesmatin,,,,Peu courant
les hommes,ifeganen,,,,Peu courant
orgelet (petit bouton en forme de grain d'orge au bord de la paupière),illeḍ,,,,Peu courant
chameau,alɣwem,,,,Peu courant
les jeunes filles,tilemzyin,,,,Peu courant
toi (féminin),kem,,,,Peu courant
chèvre,taɣat,,,,Peu courant
les vieillards,iwessura,,,,Peu courant
boyau,ajaɛbub,,,,Peu courant
sorcier,aseḥḥar,,,,Peu courant
grand-mère,jedda,,,,Peu courant
côté (à),tama,,,,Peu courant
calcul,leḥsab,,,,Peu courant
mes soeurs,isetla,,,,Peu courant
primaire,amezgaru,,,,Peu courant
vacarme,dderdiḥ,,,,Peu courant
les vieillards,iwessuraren,,,,Peu courant
se lever,kker,,,,Peu courant
excuse moi,surf iyi,,,,Peu courant
acheteur,amsaɣ,,,,Peu courant
cils,argalen,,,,Peu courant
adolescent,anubi,,,,Peu courant
allumage,asaɣay,,,,Peu courant
moi- je,nekk,,,,Peu courant
atomique,abelkim,,,,Peu courant
palmier datier,tazdayt,,,,Peu courant
entasser,kerker,,,,Peu courant
au revoir,ar temlilit,,,,Peu courant
assouplir,selweɣ,,,,Peu courant
deuxième (masculin),wissin,,,,Peu courant
celui qui n'a pas laissé de progéniture,amengur,,,,Peu courant
les jeunes,ilemziyen,,,,Peu courant
hyène,iffis,,,,Peu courant
pastèque,dellaε - tiljḍt,,,,Peu courant
chicorée sauvage,timerzuga,,,,Peu courant
berbèrie,tamazgha,,,,Peu courant
generalité,mata,,,,Peu courant
berceau,dduḥ,,,,Peu courant
jeune (féminin),timeẓit,,,,Peu courant
le divorce,inebran,,,,Peu courant
coudre,gnu,,,,Peu courant
terrorisme,taremɣa,,,,Peu courant
cheville,ṭiwetẓa,,,,Peu courant
les soeurs,tiyesmatin,,,,Peu courant
perturber,erwi,,,,Peu courant
museau ou visage,axenfuc,,,,Peu courant
châtaignier,abeluḍ urumi,,,,Peu courant
téter,ṭṭeḍ,,,,Peu courant
applaudir,ewt afus,,,,Peu courant
mâchoire,aɣesmaṛ,,,,Peu courant
jurer,ggal,,,,Peu courant
cèdre,ingel - arzun,,,,Peu courant
les piers,iḍarren,,,,Peu courant
nous (féminin),nekkwenti,,,,Peu courant
mûres,tizwal,,,,Peu courant
les barbes,timartin,,,,Peu courant
cou ou meurtre,tamgerṭ,,,,Peu courant
clôture,afrag,,,,Peu courant
pas - sans,wer,,,,Peu courant
ma fille,yelli,,,,Peu courant
le jeune,ilemzi,,,,Peu courant
actuel,aturaw,,,,Peu courant
mes frères,ayetma,,,,Peu courant
cuisse,taɣma,,,,Peu courant
sapin de numidie,tumert,,,,Peu courant
les belles soeur,tilwestin,,,,Peu courant
épaisseur,tuzart,,,,Peu courant
abricot,afermas - lmecmec,,,,Peu courant
rue à feuilles étroites - rue des jardins,awermi,,,,Peu courant
sureau,arwari,,,,Peu courant
néflier,tazaɛṛurt - tubrazt,,,,Peu courant
citerne,tanuṭfi,,,,Peu courant
vous avez dit (masculin),tennam,,,,Peu courant
selle (pour le cheval),tarict,,,,Peu courant
noyer (se),ɣreq,,,,Peu courant
allumage,asiɣi,,,,Peu courant
les bras,iɣallen,,,,Peu courant
aboiement,ashewhew,,,,Peu courant
les orphelins,igujilen,,,,Peu courant
poire,ifires,,,,Peu courant
chicorée,timarzuga - tazudla,,,,Peu courant
gingembre,skanjbir,,,,Peu courant
patte d'animal griffu ou griffe du chat,axabbaz,,,,Peu courant
indigestion,lqu,,,,Peu courant
fond,ider,,,,Très courant
meurtre,tameggaḥt,,,,Très courant
cheveux,amzur,,,,Très courant
dos,azagur,,,,Très courant
apprendre,elmed,,,,Très courant
envoyer,ssifeḍ,,,,Très courant
recherche,aqelleb,,,,Très courant
coin,tiɣmert,,,,Très courant
sérieux,ḥdeq,,,,Très courant
joue,amayeg,,,,Très courant
aimer,ḥemmel,,,,Très courant
table,tatabelt,,,,Très courant
lire,ɣer,,,,Très courant
bonsoir,timensiwin,,,,Très courant
où,anda,,,,Très très courant
attention,ɣark,,,,Très très courant
grand,amuqran,,,,Très très courant
parler,meslay,,,,Très très courant
frère,gma,,,,Très très courant
nouveau,amaynut,,,,Très très courant
fille,taqcict,,,,Très très courant
mère,tamrawt,,,,Très très courant
coup,amegreḍ,,,,Très très courant
mère,yemma,,,,Très très courant
bon,ilha,,,,Très très courant
dessus,nnig,,,,Très très courant
alors,ihi,,,,Très très courant
son,imesli,,,,Très très courant
garde,tiḍal,,,,Très très courant
fois,tikkelt,,,,Très très courant
aide,tallalt,,,,Très très courant
